const,X5,X7,X8,X12,X13,X14,X16,X17,X19,X24,X25,X27,X28,X35,X36,X37,X38,X42,X44,X45,X46,X48,X52,X53,X54,X55,Y_train
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.22014791367392292,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5001778552916141,0
1.0,-0.0,-0.0,-0.0,-0.0,0.07744386609795337,-0.0,-0.0,0.10950018819143305,1.156462257659009,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.254439685480866,0.07774767653786323,-0.0,0.6383878620827856,1
1.0,0.2602700273862986,0.07705018273695045,-0.0,0.2844869789405043,0.07209878258938238,-0.0,0.12293902592013249,0.10864050655523715,1.2244684015922245,0.06921115352485867,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06096574623170957,0.05716660098825857,-0.0,0.7095389508298596,1
1.0,-0.0,-0.0,-0.0,0.5421897643102692,-0.0,-0.0,-0.0,-0.0,1.2665165455116687,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2007899195132229,-0.0,-0.0,0.6281391446614999,0
1.0,-0.0,-0.0,0.08155832790503027,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5001778552916141,0
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6187264048642684,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.20881594537945777,-0.0,-0.0,0.7440472934975887,1
1.0,-0.0,-0.0,-0.0,0.5046442008448225,-0.0,-0.0,-0.0,-0.0,1.018488413564625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8554863701608236,0
1.0,-0.0,-0.0,-0.0,0.41612350224015204,-0.0,-0.0,0.17627626085460477,-0.0,1.3779140402603072,0.0692981800681451,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.12045293787671339,0.06842107706053198,-0.0,0.7349096117437428,1
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.27688395537694066,0.21865037398385107,0.0726527844951178,0.06572906303444434,-0.0,-0.0,-0.0,-0.0,-0.0,0.20489845093284037,-0.0,-0.0,-0.0,-0.0,-0.0,0.677259790963532,0
1.0,0.1724630948943053,-0.0,-0.0,0.3317704475302663,-0.0,-0.0,0.17780243136306761,0.10816448956034361,1.2886414651137719,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.15042062856507207,-0.0,-0.0,0.1862448742458655,0.07753806381942094,0.03028304329534492,0.7691241732578801,1
1.0,0.2343513615395347,0.08409779429198136,-0.0,-0.0,-0.0,-0.0,0.14448203163111817,-0.0,1.3420639638167786,-0.0,0.18090933574091134,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04288007719157984,0.03527443862548238,-0.0,0.5854896461822863,0
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.22014791367392292,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5001778552916141,0
1.0,-0.0,-0.0,-0.0,0.4342965503882595,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6514105561497137,0
1.0,0.11488680968671355,-0.0,-0.0,0.17514673153310048,-0.0,-0.0,0.0626071329405093,0.09296729302601932,0.3286896589493746,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.05374815531632865,-0.0,-0.0,0.04156279549398233,-0.0,-0.0,-0.0,0.18937911051331524,0.029670134421705067,-0.0,0.7380498575037552,1
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.14841416198599403,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8092198236660256,0
1.0,0.23342481896644782,-0.0,-0.0,0.3450615939359613,-0.0,-0.0,-0.0,-0.0,0.4948915313842777,-0.0,0.27691369579668773,-0.0,0.07265276654905942,0.06570219119488177,-0.0,0.09976896361313442,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7489562869589778,0
1.0,-0.0,-0.0,-0.0,0.3771816935188266,-0.0,-0.0,-0.0,-0.0,0.41902257493656714,-0.0,0.2776767388663147,0.18917952737028465,0.06994578771751919,0.06399729413111413,0.06350468042787559,0.09901573992987132,-0.0,0.06459489295312916,-0.0,0.18060545576042847,-0.0,-0.0,-0.0,-0.0,-0.0,0.8308632028336747,0
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2175615006398085,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03206104607147026,0.7715649598754553,0
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0841499263160999,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2577640673095533,-0.0,-0.0,0.7188083489327525,1
1.0,-0.0,0.0842753411307141,-0.0,-0.0,-0.0,-0.0,0.1788145880222156,0.10948080110545204,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.10036680995427857,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06914182469421361,0.03190143018707385,0.922183174126038,1
1.0,0.19258359542641634,-0.0,-0.0,0.4762466045967753,0.06925151038914486,-0.0,-0.0,0.0596554658074005,1.3985852941296504,0.04938104125093457,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2585031020199619,0.07829273471334805,-0.0,0.8587694143430094,1
1.0,0.20268238971976135,0.08316321427712103,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9465480222100456,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1942909138819556,0.07676676301026855,-0.0,0.7041017199781682,1
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.124916970376023,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.22607973905133605,-0.0,0.03207142044069873,0.8873632900272802,1
1.0,-0.0,-0.0,0.08094456145794042,-0.0,-0.0,-0.0,-0.0,-0.0,0.38787591937604055,-0.0,-0.0,0.18417034922917677,-0.0,-0.0,-0.0,0.098486366595703,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6627332089458579,0
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.17471775202212525,-0.0,1.3796598939549694,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.19677528579648929,-0.0,-0.0,0.11533924643312465,0.06716189885373607,-0.0,0.8630562308097496,1
